,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_NULL_,,,,,,,,,,
STRID_MODE,Mode,Mode,Modus,Modo,Modalità,Modo,拍摄模式,モード,模式,режим
STRID_IMGSize,Image Size,Taille Im.,Auflösung,Tam. Imág.,Dim.Immag.,Image Size,分辨率,サイズ,影像尺寸,размер изображения 
STRID_RESOLUTION,Resolution,Resolution,Auflösung,Resolución,Dimens. Immagine,Resolução,分辨率,解像度,解析度,разрешение
STRID_12M,12M,12M,12M,12M,12M,12M,12M,12M,12M,12M
STRID_10M,10M,10M,10M,10M,10M,10M,10M,10M,10M,10M
STRID_9M,9M,9M,9M,9M,9M,9M,9M,9M,9M,9M
STRID_8M,8M,8M,8M,8M,8M,8M,8M,8M,8M,8M
STRID_7M,7M,7M,7M,7M,7M,7M,7M,7M,7M,7M
STRID_6M,6M,6M,6M,6M,6M,6M,6M,6M,6M,6M
STRID_5M,5M,5M,5M,5M,5M,5M,5M,5M,5M,5M
STRID_4M,4M,4M,4M,4M,4M,4M,4M,4M,4M,4M
STRID_3M,3M,3M,3M,3M,3M,3M,3M,3M,3M,3M
STRID_2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD,2MHD
STRID_2M,2M,2M,2M,2M,2M,2M,2M,2M,2M,2M
STRID_1M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M,1.3M
STRID_VGA,VGA,VGA,VGA,VGA,VGA,VGA,VGA,VGA,VGA,VGA
STRID_QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA,QVGA
STRID_D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1
STRID_720P,720P,720P,720P,720P,720P,720P,720P,720P,720P,720P
STRID_1080P,1080P,1080P,1080P,1080P,1080P,1080P,1080P,1080P,1080P,1080P
STRID_1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD,1080FHD
STRID_12MWxH,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024,12M 4032x3024
STRID_10MWxH,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736,10M 3648x2736
STRID_9MWxH,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604,9M 3472x2604
STRID_8MWxH,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448,8M 3264x2448
STRID_7MWxH,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304,7M 3072x2304
STRID_6MWxH,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112,6M 2816x2112
STRID_5MWxH,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944,5M 2592x1944
STRID_4MWxH,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704,4M 2272x1704
STRID_3MWxH,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536,3M 2048x1536
STRID_2MHDWxH,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080,2MHD 1920x1080
STRID_2MWxH,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200,2M 1600x1200
STRID_1MWxH,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960,1.3M 1280x960
STRID_WVGAWxH,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480
STRID_VGAWxH,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480
STRID_QVGAWxH,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240
STRID_1080P60_D1P30,"1080P60,720x480P30","1080P60,720x480P30","1080P60,720x480P30","1080P60,720x480P30","1080P60,720x480P30","1080P60,720x480P30","1080P60,720x480P30","1080P60,720x480P30","1080P60,720x480P30","1080P60,720x480P30"
STRID_D1WxH,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480
STRID_720PWxH,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720
STRID_1080PWxH,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080
STRID_1080FHDWxH,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080
STRID_COMPRESSION,Compression,Compression,Kompression,Compresión,Compress.imm.,Compressão,图像质量,圧縮率,壓縮率,Сжатие записи
STRID_QUALITY,Quality,Qualité,Qualität,Calidad,Qualità,Quality,图象质量,画質,影像品質,качество 
STRID_SUPER,Super Fine,Super Forte,Superfein,Calidad Extra,Molto forte,Super Fina,最佳,スーパーファイン,最佳,Наилучшее
STRID_FINE,Fine,Forte,Fein,Alta,Forte,Fina,优质,ファイン,較佳,Высокое
STRID_NORMAL,Normal,Normale,Normal,Normal,Normale,Normal,标准,ノーマル,一般,Стандартное
STRID_ECONOMY,Economy,Économie,Sparsam,Económ.,Economia,Economy,经济,エコノミー,經濟,Экономичное
STRID_WB,White Balance,Balance Blancs,Weissbalance,Balance Blanco,Bilanc.bianco,Balanço Brancos,白平衡,ホワイトバランス,白平衡,Баланс белого
STRID_AUTO,Auto,Auto,Auto,Auto,Automatico,Auto,自动,オート,自動,Авто баланс
STRID_WB_DAY,Daylight,Ensoleille,Sonnig,Sol,Luce Diurna,Sol,日光,晴天,日光,Солнечно
STRID_WB_CLOUDY,Cloudy,Nuageux,Wolkig,Nubes,Nuvoloso,Enevoado,阴天,曇天,陰天,пасмурно
STRID_WB_TUNGSTEN,Tungsten,Tungstene,Kunstlicht,Tungsteno,Tungsteno,Tungsténio,钨丝灯,タングステン,燈泡,Вольфрам
STRID_WB_FLUORESCENT,Fluorescent,Fluor,Neonlicht,Fluoro,Illuminazione a fluorescenza,Fluore,荧光灯,蛍光灯,日光燈,Флуоресцент
STRID_EXPOSURE,Exposure,Exposition,Belichtung,Exposición,Esposizione,Exposição,曝光补偿,露出,曝光,Экспозиция
STRID_EV,EV,Exposition,Belichtungs-wert,Exposición,Esposizione,EV,曝光补偿,露出補正,曝光補償,EV
STRID_ISO,ISO,ISO,ISO,ISO,ISO,ISO,ISO,ISO,ISO,ISO
STRID_ISO50,50,50,50,50,50,50,50,50,50,50
STRID_ISO100,100,100,100,100,100,100,100,100,100,100
STRID_ISO200,200,200,200,200,200,200,200,200,200,200
STRID_ISO400,400,400,400,400,400,400,400,400,400,400
STRID_ISO800,800,800,800,800,800,800,800,800,800,800
STRID_ISO1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
STRID_ISO3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
STRID_Metering,Metering,MesureExpos,Bel.Autom.,Medición AE,Misurazione AE,Medição,测光,メータ,測光,Метеринг
STRID_Meter_Center,Center-Weighted,Centrale Pondérée,Mittenbetont,Ponderada Centro,Bilanciata al Centro,Center-Weighted,中央重点测光,センター加重,中央重點測光,По центру 
STRID_Meter_Spot,Spot,Point,Spot,Puntual,Spot,Spot,定点,スポット,點測光,Пятно
STRID_Meter_Avg,Average,Moyenne des,Durchschnittliche,Promedio,Media,Média,平均测光,アベレージ,平均測光,средний
STRID_Cap_Mode,Capture Mode,Mode Capture,Aufnahme-modus,Modo grabación,Modalità Cattura,Capture Mode,拍摄方式,撮影モード,拍攝方式,Режим съемки
STRID_Cap_Single,Single,Simple,Einzeln,único,Singolo,Single,单拍,単写,單張,Одиночный
STRID_Cap_Burst,Burst,Continuer,Fortsetzen,continuo,Continuato,Sequence,连拍,連写,連拍,Серия
STRID_Cap_Burst_3,Burst 3,3 Continuer,3 Fortsetzen,3 continuo,3 Continuato,3 Sequence,三连拍,3連写,三連拍,Серия 3 фото 
STRID_Cap_Auto,AEB,AEB,AEB,AEB,AEB,AEB,三幅自动曝光,3次自動露出,三次自動曝光,Авто- экспозиция
STRID_Cap_Timer2S,2S Timer,2s temporisateur,Timer 2s,2s contador de tiempo,2s temporizzatore,2S Timer,2秒定时,2S タイマー,2秒自拍,2 сек.
STRID_Cap_Timer5S,5S Timer,5s temporisateur,Timer 5s,5s contador de tiempo,5s temporizzatore,5S Timer,5秒定时,5S タイマー,5秒自拍,5 сек.
STRID_Cap_Timer10S,10S Timer,10s temporisateur,Timer 10s,10s contador de tiempo,10s temporizzatore,10S Timer,10秒定时,10S タイマー,10秒自拍,10 сек.
STRID_Cap_Timer20S,20S Timer,20s temporisateur,Timer 20s,20s contador de tiempo,20s temporizzatore,20S Timer,20秒定时,20S タイマー,20秒自拍,20сек.
STRID_FlashMode,Flash Mode,Mode instantané,Greller Modus,Modo de destello,Modo istantaneo,Flash Mode,闪光模式,拔け目がないモード,閃光模式,Вспышка
STRID_FlashOn,Force On,Force dessus,Kraft an,Fuerza encendido,Forza sopra,Force On,強制闪光,カオン,強制閃光,Включено
STRID_FlashOff,Force Off,Force au loin,Kraft weg,Fuerza apagado,Forza fuori,Force Off,不強制闪光,カオフ,關閉,Выключено
STRID_FlashAuto,Auto,Auto,Auto,Auto,Auto,Auto,自动,オート,自動,Автомат
STRID_RedEye,Red Eye Reduction,Rouge-oeil réduction,Rotauge verkleinerung,Rojo-ojo reducción,Rosso-occhio riduzione,Red Eye Reduction,軽减紅眼,ねたみ減少,防紅眼,"Фильтр ""красных глаз"""
STRID_Av,Av,Av,Blendenwert,Va,Av,Av,Av,Av,Av,AV
STRID_Tv,Tv,Tv,Zeitwert,Vt,Tv,Tv,Tv,Tv,Tv,TV
STRID_AvTv,Av / Tv,Av / Tv,Bl.-/Zeitwert,Va/Vt,Av / Tv,Av / Tv,Av / Tv,Av / Tv,Av / Tv,AV / TV
STRID_AvSetting,Av Setting:,Réglage Av:,Blenden-Einst.:,Ajuste Va:,Impostazione Av:,Av Setting:,Av 设置:,のAVセット,Av 設定:,AV настройки
STRID_TvSetting,Tv Setting:,Réglage Tv:,Zeitwert-Einst.:,Ajuste Vt:,Impostazione Tv:,Tv Setting:,Tv 设置:,のTVセット,Tv 設定:,установка Tv
STRID_AvTvSetting,Av/Tv Setting:,Réglage Av/Tv:,Bl./Zeit-Einst.:,Ajuste Va/Vt:,Impost. Av/TV:,Av/Tv Setting:,Av/Tv 设置:,のAV/TVセット,Av/Tv 設定:,AV / TV настройки
STRID_SceneSetting,Scene Mode,Paysage,Landschaft,Paisaje,Paesaggio,Scenery,场景,景色,景色模式,Режим съемки
STRID_Scene,Scene,Paysage,Landschaft,Paisaje,Paesaggio,Scenery,场景,景色,景色模式,Режим
STRID_Landscape,Landscape,Paysage,Landschaft,Paisaje,Paesaggio,Scenery,风景,景色,風景,Пейзаж
STRID_NightScene,Night Scene,Scène de nuit,Nachtszene,Escena de la noche,Scena di notte,Night Scene,夜景,夜場面,夜景,Ночь
STRID_Sports,Sports,Sports,Sport,Deportes,Sport,Sports,运动,スポーツ,運動,Спорт
STRID_Portrait,Portrait,Portrait,Porträt,Retrato,Ritratti,Portrait,人物,人々,人物,портрет
STRID_Flower,Flower,Fleur,Blume,Flor,Fiore,Flower,花,花,花,Цветочная
STRID_Smart,Smart Mode,Mode intelligent,Smart-Modus,Modo inteligente,Modalità intelligente,Modo Smart,智能模式,ロゴデバ,智能模式,Авто режим
STRID_Backlight,Backlight,Backlight,Backlight,Backlight,Backlight,Backlight,背光,バックライト,背光,Подсветка
STRID_Color,Color,Color,Farbe,Color,Colore,Color,色彩,カラー,色彩效果,Цветной
STRID_Color_Full,Normal,Normal,Normal,Normal,Normale,Normal,正常,ノーマル,彩色,Стандарт
STRID_Color_BW,Black & White,N/B,S/W,B/N,Bianco/nero,Black & White,黑白,白黑,黑白,Черно белый
STRID_Color_Sepia,Sepia,Sépia,Sepia,Sepia,Sepia,Sepia,棕褐色,タン,復古,Коричневый
STRID_SHARPNESS,Sharpness,Nettete,Schärfe,Definición,Nitidezza,Acuidade,锐度,シャープネス,銳利度,Резкий
STRID_STRONG,Strong,Forte,Stark,Alta,Forte,Forte,强烈,ストロング,强烈,Сильный
STRID_SOFT,Soft,Douce,Weich,Baja,Leggera,Suave,柔和,ソフト,柔和,Мягкий
STRID_Low,Low,Faible,Gering,Baja,Bassa,Low,低,低い,低,Низкий
STRID_Med,Medium,Moyen,Mittel,Media,Media,Medium,中,ミディアム,中,Средний
STRID_High,High,Supérieur,Hoch,Alta,Alta,High,高,高い,高,Высокий
STRID_DATE_STAMP,Date Stamp,Marque Date,Datumsanzeige,Impresión Fecha,Stampa Data,Impressão data,日期标签,日付表示,日期記錄,Штамп дата/время
STRID_DATE_TIME,Date/Time,Date/Heure,Datum/Uhrzeit,Fecha/Hora,Data/Ora,Data/Hora,日期/时间,日/時刻,日期/時間,Дата / время
STRID_DATE,Date,Date,Datum,Fecha,Data,Data,日期,日時,日期,Дата
STRID_TIME,Time,Reglage Heure,Zeit Einstellen,Configurar Hora,Imp.ora,Acert hora,时间设置,時間設定,時間,Время
STRID_y_m_d,y/m/d,a/m/j,j/m/t,a/m/d,a/m/g,y/m/d,y/m/d,y/m/d,y/m/d,ГГ/ММ/ДД
STRID_d_m_y,d/m/y,j/m/a,t/m/j,d/m/a,g/m/a,d/m/y,d/m/y,d/m/y,d/m/y,ДД/ММ/ГГ
STRID_m_d_y,m/d/y,m/j/a,m/t/j,m/d/a,m/g/a,m/d/y,m/d/y,m/d/y,m/d/y,ММ/ДД/ГГ
STRID_ON,On,Active,An,Encendido,On,On,开,オン,開,Вкл.
STRID_OFF,Off,Desactive,Aus,Apagado,OFF,Off,关,オフ,關,Выкл.
STRID_DZ,Digital Zoom,Zoom Numér.,Digitalzoom,Zoom Digital,Zoom Digitale,Digital Zoom,数码变焦,デジタルズーム,數位變焦,Цифровой зум
STRID_QUICK_VIEW,Quick Review,Bilan Rapide,Schnelldurchlauf,Revisión Rápida,Visualizz. Rapida,Revisão rápida,快速预览,クイックレビュー,快速檢視,Быстрый просмотр
STRID_Saturation,Saturation,Saturation,Sättigung,Saturación,Saturazione,Saturation,饱和度,彩度,彩度,Контрастность
STRID_Movie,Video,Vidéo,Video,Vídeo,Filmati,Video,视频,ビデオ,視訊,Видео
STRID_FrameRate,Frame Rate,Taux d'armature,Rahmenrate,Tarifa del macro,Tasso della struttura,Frame Rate,帧频,フレーム率,格數,Частота съемки 
STRID_30fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 к/сек
STRID_15fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 к/сек
STRID_Video,Video,Vidéo,Video,Vídeo,Filmati,Video,视频,ビデオ,視訊,Видео
STRID_Audio,Audio,Audio,Audio,Sonido,Audio,Audio,录音,オーデイオ,錄音,Аудио
STRID_SETUP,Setup,Reglages,Einstellungen,Configuración,Impostazioni,Configuração,设置,設定,設定,Настройки
STRID_Frequency,Frequency,Fréquence,Frequenz,Frecuencia,Frequenza,Frequency,光源频率,明滅の頻度,頻率,Частота освещения
STRID_50Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz
STRID_60Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz
STRID_Media,Media Select,Médias choisis,Mittel auserwählt,Medios selectos,Mezzi prescelti,Media Select,介质选择,選り拔き媒体,媒體選擇,Выбор памяти
STRID_STORAGE,Storage Media,Stockage Media,Speichermedium,Medio de almacenamiento,Salvataggio,Memória,存储媒体,保存メディア,儲存媒體,Выбор места хранения
STRID_INT_FLASH,Internal Memory,Memoire Interne,Interner Speicher,Memoria Interna,Memoria Interna,Mem Interna,内存,内部メモリ,內建記憶體,Внутренняя память
STRID_EXT_CARD,SD Card,Carte SD,SD Karte,Tarjeta SD,Scheda SD,SD Card,SD 卡,SDカード,記憶卡,SD карта
STRID_LOGO_DISPLAY,Logo Display,Affichage de logo,Firmenzeichenanzeige,Exhibición de la insignia,Esposizione di marchio,Logo Display,开机画面,ロゴの表示,開機畫面,Показывать заставку
STRID_OPENING,Opening,Ouverture,Öffnen,Apertura,Apertura,Abertura,开机画面,開始,開機畫面,Открыть 
STRID_FORMAT,Format,Format,Format,Formato,Formattazione,Formatar,格式化,フォーマット,格式化,Формат
STRID_OK,OK,OK,OK,OK,OK,OK,确认,確認,確認,ОК
STRID_CANCEL,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Cancelar,取消,キャンセル,取消,Отмена
STRID_BEEPER,Beep Sound,Bip Sonore,Akustisches Signal,Sonido Bip,Segnale acust.,Som de beep,按键声音,電子音,提示音,Звук клавиш
STRID_Beep_Loud,Louder,#NAME?,Lauter,Alto,Forte,Louder,大,大な,高音量,Громко
STRID_Beep_Soft,Soft,Faible,Soft,Suave,Piano,Soft,小,小さな,柔和,Тихо
STRID_LANGUAGE,Language,Langues,Sprache,Idioma,Lingua,Idioma,语言设置,言語,語系,Язык
STRID_LANG_EN,English,English,English,English,English,English,English,English,English,English
STRID_LANG_FR,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français
STRID_LANG_ES,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
STRID_LANG_DE,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
STRID_LANG_IT,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
STRID_LANG_TC,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文
STRID_LANG_SC,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文
STRID_LANG_JP,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
STRID_LANG_PO,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português
STRID_LANG_RU,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
STRID_USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
STRID_PC_MODE,PC Mode,Mode de PC,Modo de la PC,Modo de la PC,Modo del PC,PC Mode,PC模式,PCモード,PC模式,Режим РС
STRID_MSDC,Mass Storage,Mémoire de masse,Massenspeicher,Memoria de masa,Memoria di massa,Mass Storage,存储器,ディスク,磁碟機,Флэш-память
STRID_PCC,PC Camera,Caméra PC,PC-Kamera,Cámara PC,PC Camera,PC Camera,摄像头,PCカメラ,網路攝影機,PC камера
STRID_PICTBRIDGE,Pictbridge,Pictbridge,Pictbridge,Traspasar Fotos,Pictbridge,Pictbridge,PICTBRIDGE,ピクトブリッジ,PictBridge,Pictbridge
STRID_USBCHARGE,Power Charging,Power Charging,Power Charging,Power Charging,Power Charging,Power Charging,充电中,Power Charging,充電中,Поручать силы 
STRID_TV_MODE,TV Mode,Mode de TV,TV-Modus,Modo de la TV,Modo della TV,TV Mode,TV模式,TVモード,電視輸出,режим TV
STRID_TV_NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC
STRID_TV_PAL,PAL,PAL,PAL,PAL,PAL,PAL,PAL,PAL,PAL,PAL
STRID_BRIGHTNESS,LCD Brightness,LCD Brightness,LCD Helligkeit,Luminosidad LCD,Luminosità LCD,Brilho LCD,LCD亮度调节,LCD輝度,LCD亮度,Яркость
STRID_AUTO_OFF,Auto Power Off,Arret Auto,Auto Aus,Desconexión Automática,Spegnim. aut.,Auto power off,自动关机,オートパワーOFF,自動關機,Авто выключение
STRID_AUTO_OFF_1MIN,1 Minute,1 Min,1 Min,1 Min,1 Min,1 Min,1 分钟,1 分,1 分鐘,1 мин.
STRID_AUTO_OFF_2MIN,2 Minutes,2 Mins,2 Min,2 Min,2 Min,2 Min,2 分钟,2 分,2 分鐘,2 мин.
STRID_AUTO_OFF_3MIN,3 Minutes,3 Mins,3 Min,3 Min,3 Min,3 Min,3 分钟,3 分,3 分鐘,3 мин.
STRID_AUTO_OFF_5MIN,5 Minutes,5 Mins,5 Min,5 Min,5 Min,5 Min,5 分钟,5 分,5 分鐘,5 мин.
STRID_AUTO_OFF_10MIN,10 Minutes,10 Mins,10 Min,10 Min,10 Min,10 Min,10 分钟,10 分,10 分鐘,10 мин.
STRID_1MIN,1 Minute,1 Min,1 Min,1 Min,1 Min,1 Min,1 分钟,1 分,1 分鐘,1 мин.
STRID_2MIN,2 Minutes,2 Mins,2 Min,2 Min,2 Min,2 Min,2 分钟,2 分,2 分鐘,2 мин.
STRID_3MIN,3 Minutes,3 Mins,3 Min,3 Min,3 Min,3 Min,3 分钟,3 分,3 分鐘,3 мин.
STRID_5MIN,5 Minutes,5 Mins,5 Min,5 Min,5 Min,5 Min,5 分钟,5 分,5 分鐘,5 мин.
STRID_10MIN,10 Minutes,10 Mins,10 Min,10 Min,10 Min,10 Min,10 分钟,10 分,10 分鐘,10 мин.
STRID_15MIN,15 Minutes,15 Mins,15 Min,15 Min,15 Min,15 Min,15 分钟,15 分,15 分鐘,15 мин.
STRID_20MIN,20 Minutes,20 Mins,20 Min,20 Min,20 Min,20 Min,20 分钟,20 分,20 分鐘,20 мин.
STRID_25MIN,25 Minutes,25 Mins,25 Min,25 Min,25 Min,25 Min,25 分钟,25 分,25 分鐘,25 мин.
STRID_30MIN,30 Minutes,30 Mins,30 Min,30 Min,30 Min,30 Min,30 分钟,30 分,30 分鐘,30 мин.
STRID_60MIN,60 Minutes,60 Mins,60 Min,60 Min,60 Min,60 Min,60 分钟,60 分,60 分鐘,60 мин.
STRID_SCREEN_SAVE,Screen Save,Screen Save,Screen Save,Screen Save,Screen Save,Screen Save,Screen Save,Screen Save,Screen Save,Screen Save
STRID_CYCLIC_REC,Loop recording, Enregistrement continu,Loop-Aufnahme , Grabación continua,Loop di registrazione , Gravação contínua,循环录影,ループ録画,循環錄影,Цикл записи (мин)
STRID_FLASH_REC,Flash Record,Flash Record,Flash Record,Flash Record,Flash Record,Flash Record,Flash Record,Flash Record,預錄,Flash Record
STRID_GOLF_REC,Golf Shot,Golf Shot,Golf Shot,Golf Shot,Golf Shot,Golf Shot,Golf Shot,Golf Shot,高速錄影,Golf Shot
STRID_DUAL_REC,Dual Record,Dual Record,Dual Record,Dual Record,Dual Record,Dual Record,Dual Record,Dual Record,雙路錄影,Dual Record
STRID_TIMELAPSE_REC,Time-lapse Record,Intervalle,Zeitraffer,Lapso de tiempo,Intervallo,Intervalo,间隔录像,インターバル撮影,間隔錄影,Интервальная съемка
STRID_TIMELAPSE_CAP,Time-lapse Capture,Intervalle,Zeitraffer,Lapso de tiempo,Intervallo,Intervalo,间隔拍照,インターバル撮影,間隔拍照,Интервальная съемка
STRID_MAKE_MOVIE,Make Movie by Photo,Make Movie by Photo,Make Movie by Photo,Make Movie by Photo,Make Movie by Photo,Make Movie by Photo,照片合成影片,Make Movie by Photo,照片合成影片,Make Movie by Photo
STRID_PROCESSING,Processing…,En cours…,Verarbeitung läuft…,Procesando…,Elaborazione in corso…,Processando…,处理中…,処理中…,處理中…,Обработка…
STRID_NONE,None,Keine,Aucun,Ningunos,Nessun,None,无,どれも,無,Нет
STRID_RESET_NUM,Reset Number,Réini.Nb,Nr. Rücks.,Rest. Núm.,Azz.Numero,Reset Number,数字归零,デジタルゼロ,重設數字,Сбросить номер
STRID_DEFAULT_SETTING,Default Setting,Regl. Defaut,Standard Einstell,Configuración por defecto,Impost.predef.,Conf por def,默认设置,デフォルト設定,預設值,Перезагрузить
STRID_YES,Yes,Oui,Ja,Sí,Sì,Yes,是,はい,是,Да
STRID_NO,No,Non,Ein,No,No,No,否,いいえ,否,Нет
STRID_VERSION,Version,Version,Version,Versión,Versione,Version,版本,バージョン,版本,Версия ПО
STRID_PLAYBACK,Playback,de lecture,Wiedergabe,playback,Riproduzione,reprodução,回放,再生モード,播放,Воспроизведение
STRID_THUMBNAIL,Thumbnail,Ongle du pouce,Thumbnail,Thumbnail,Thumbnail,Thumbnail,缩略图,サムネイル,縮圖,Ракурс 
STRID_SET_LOGO,Set Logo,Placez le logo,Foto ein,Fije la insignia,Regoli il marchio,Set Logo,设置开机画面,ロゴを置きなさい,自定開機畫面,Установка  логотипа
